"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","94.296","94.100","94.301","94.110","","0.20%"
"04/23/2026","94.110","94.010","94.158","94.005","","0.33%"
"04/22/2026","93.800","93.495","93.869","93.494","","0.33%"
"04/21/2026","93.495","93.120","93.631","93.120","","0.40%"
"04/20/2026","93.120","92.710","93.243","92.631","","0.56%"
"04/17/2026","92.603","93.140","93.140","92.444","","-0.48%"
"04/16/2026","93.053","93.260","93.407","92.926","","-0.36%"
"04/15/2026","93.385","93.106","93.503","93.074","","0.24%"
"04/14/2026","93.165","93.156","93.407","93.016","","-0.07%"
"04/13/2026","93.233","93.318","93.431","93.120","","0.15%"
"04/10/2026","93.090","92.683","93.092","92.409","","0.67%"
"04/09/2026","92.470","92.570","92.915","92.313","","-0.12%"
"04/08/2026","92.585","92.860","92.860","92.333","","-0.30%"
"04/07/2026","92.867","93.008","93.075","92.818","","-0.21%"
"04/06/2026","93.065","92.838","93.204","92.716","","0.38%"
"04/03/2026","92.710","92.952","92.803","92.614","","-0.29%"
"04/02/2026","92.978","93.279","93.691","92.797","","-0.27%"
"04/01/2026","93.226","93.627","93.890","93.022","","-0.28%"
"03/31/2026","93.485","94.373","94.380","93.432","","-0.95%"
"03/30/2026","94.379","93.048","95.220","93.032","","-0.43%"
"03/27/2026","94.782","94.298","94.988","94.116","","0.52%"
"03/26/2026","94.288","93.800","94.301","93.800","","0.41%"
"03/25/2026","93.906","93.990","94.214","93.763","","-0.15%"
"03/24/2026","94.043","93.505","94.141","93.505","","0.89%"
"03/23/2026","93.212","93.743","94.137","92.911","","-0.51%"
"03/20/2026","93.692","92.924","93.826","92.834","","0.84%"
"03/19/2026","92.911","93.027","93.384","92.859","","-0.23%"
"03/18/2026","93.129","92.407","93.129","92.340","","0.79%"
"03/17/2026","92.395","92.240","92.491","92.240","","0.14%"
"03/16/2026","92.264","92.449","92.483","92.147","","-0.30%"
"03/13/2026","92.540","92.366","92.572","92.240","","0.16%"
"03/12/2026","92.388","92.243","92.506","92.055","","0.17%"
"03/11/2026","92.229","91.899","92.258","91.837","","0.28%"
"03/10/2026","91.974","91.851","92.204","91.674","","-0.20%"
"03/09/2026","92.155","92.330","92.386","92.113","","0.24%"
"03/06/2026","91.933","91.662","92.012","91.570","","0.16%"
"03/05/2026","91.787","92.132","92.165","91.335","","-0.36%"
"03/04/2026","92.123","92.012","92.311","91.880","","0.08%"
"03/03/2026","92.050","91.560","92.239","91.560","","0.51%"
"03/02/2026","91.585","91.234","91.774","91.167","","0.56%"
"02/27/2026","91.076","91.022","91.142","90.915","","0.09%"
"02/26/2026","90.993","90.941","91.078","90.806","","0.11%"
"02/25/2026","90.894","90.913","90.970","90.863","","-0.03%"
"02/24/2026","90.918","91.026","91.032","90.855","","-0.11%"
"02/23/2026","91.016","90.765","91.034","90.680","","0.32%"
"02/20/2026","90.730","91.042","91.088","90.721","","-0.34%"
"02/19/2026","91.038","90.793","91.211","90.700","","0.26%"
"02/18/2026","90.804","90.627","90.809","90.575","","0.19%"
"02/17/2026","90.632","90.784","90.804","90.607","","-0.16%"
"02/16/2026","90.779","90.596","90.832","90.536","","0.25%"
"02/13/2026","90.555","90.613","90.762","90.516","","-0.01%"
"02/12/2026","90.564","90.672","90.732","90.390","","-0.19%"
"02/11/2026","90.736","90.587","90.846","90.465","","0.16%"
"02/10/2026","90.588","90.793","90.798","90.470","","-0.19%"
"02/09/2026","90.756","90.518","90.811","90.373","","0.18%"
"02/06/2026","90.596","90.315","90.845","90.173","","0.31%"
"02/05/2026","90.319","90.362","90.521","90.063","","-0.08%"
"02/04/2026","90.391","90.377","90.535","90.233","","-0.04%"
"02/03/2026","90.423","90.328","90.520","90.022","","-0.94%"
"02/02/2026","91.285","91.778","92.023","91.280","","-0.45%"
"01/30/2026","91.694","91.870","92.027","91.667","","-0.10%"
"01/29/2026","91.782","92.031","92.129","91.779","","-0.28%"
"01/28/2026","92.043","91.540","92.220","91.418","","0.62%"
"01/27/2026","91.474","91.775","91.896","91.472","","-0.26%"
"01/26/2026","91.713","91.531","91.790","91.500","","0.04%"
"01/23/2026","91.675","91.559","91.988","91.415","","0.11%"
"01/22/2026","91.570","91.537","91.681","91.279","","0.03%"
"01/21/2026","91.546","91.055","91.753","90.998","","0.47%"
"01/20/2026","91.119","90.905","91.119","90.871","","0.24%"
"01/19/2026","90.902","90.717","91.015","90.610","","0.21%"
